filename,sample,plate
1_concat_1-002-1.fcs,1_concat_1-002-1.fcs,1
1_concat_1-002-2.fcs,1_concat_1-002-2.fcs,1
1_concat_1-002-3.fcs,1_concat_1-002-3.fcs,1
1_concat_1-003-1.fcs,1_concat_1-003-1.fcs,1
1_concat_1-003-2.fcs,1_concat_1-003-2.fcs,1
1_concat_1-003-3.fcs,1_concat_1-003-3.fcs,1
1_concat_1-005-1.fcs,1_concat_1-005-1.fcs,1
1_concat_1-005-2.fcs,1_concat_1-005-2.fcs,1
1_concat_1-017-1.fcs,1_concat_1-017-1.fcs,1
1_concat_1-017-2.fcs,1_concat_1-017-2.fcs,1
1_concat_1-021-1.fcs,1_concat_1-021-1.fcs,1
1_concat_1-023-1.fcs,1_concat_1-023-1.fcs,1
1_concat_1-032-1.fcs,1_concat_1-032-1.fcs,1
1_concat_1-038-1.fcs,1_concat_1-038-1.fcs,1
1_concat_1-038-2.fcs,1_concat_1-038-2.fcs,1
1_concat_1-040-1.fcs,1_concat_1-040-1.fcs,1
1_concat_1-040-2.fcs,1_concat_1-040-2.fcs,1
1_concat_3-006.fcs,1_concat_3-006.fcs,1
1_concat_3-009.fcs,1_concat_3-009.fcs,1
2_concat_1-001-1.fcs,2_concat_1-001-1.fcs,2
2_concat_1-001-2.fcs,2_concat_1-001-2.fcs,2
2_concat_1-004-2.fcs,2_concat_1-004-2.fcs,2
2_concat_1-008-2.fcs,2_concat_1-008-2.fcs,2
2_concat_1-009-2.fcs,2_concat_1-009-2.fcs,2
2_concat_1-012-3.fcs,2_concat_1-012-3.fcs,2
2_concat_1-013-2.fcs,2_concat_1-013-2.fcs,2
2_concat_1-014-1.fcs,2_concat_1-014-1.fcs,2
2_concat_1-014-2.fcs,2_concat_1-014-2.fcs,2
2_concat_1-019-1.fcs,2_concat_1-019-1.fcs,2
2_concat_1-019-2.fcs,2_concat_1-019-2.fcs,2
2_concat_1-019-3.fcs,2_concat_1-019-3.fcs,2
2_concat_1-020-2.fcs,2_concat_1-020-2.fcs,2
2_concat_1-030-1.fcs,2_concat_1-030-1.fcs,2
2_concat_1-031-3.fcs,2_concat_1-031-3.fcs,2
2_concat_1-036-2.fcs,2_concat_1-036-2.fcs,2
2_concat_1-039-1.fcs,2_concat_1-039-1.fcs,2
2_concat_3-012.fcs,2_concat_3-012.fcs,2
2_concat_3-027.fcs,2_concat_3-027.fcs,2
3_concat_3-047-01.fcs,3_concat_3-047-01.fcs,3
3_concat_3-074-01.fcs,3_concat_3-074-01.fcs,3
3_concat_5-010-1.fcs,3_concat_5-010-1.fcs,3
3_concat_5-012-1.fcs,3_concat_5-012-1.fcs,3
3_concat_5-017-1.fcs,3_concat_5-017-1.fcs,3
3_concat_5-018-1.fcs,3_concat_5-018-1.fcs,3
3_concat_5-019.fcs,3_concat_5-019.fcs,3
3_concat_5-023.fcs,3_concat_5-023.fcs,3
3_concat_5-030.fcs,3_concat_5-030.fcs,3
3_concat_5-036.fcs,3_concat_5-036.fcs,3
3_concat_5-047.fcs,3_concat_5-047.fcs,3
3_concat_5-090-1.fcs,3_concat_5-090-1.fcs,3
3_concat_5-193.fcs,3_concat_5-193.fcs,3
